hashtag_H	cluster_C_leader(userID)	relative_frequency_H_C	frequency_H_in_C	frequency_H_overall	count_H_in_C	count_tweets_in_C	count_H_entire_dataset	count_tweets_entire_dataset
JusticeMatters	1003107003693137921	421.94092	1.00000	.00237	6	6	14	5890
TrumpIsATraitor	1003107003693137921	1041.62500	.16666	.00016	1	6	1	5890
TrumpIsACriminal	1003107003693137921	1041.62500	.16666	.00016	1	6	1	5890
TrumpGQPdeathKKKult	1003107003693137921	42.73333	.16666	.00390	1	6	23	5890
TrumpCrimesCommission	1003107003693137921	65.61417	.16666	.00254	1	6	15	5890
ArrestTrumpNow	1003107003693137921	51.75776	.16666	.00322	1	6	19	5890
WarCriminalPutin	1005846500583321601	200.00000	.10000	.00050	1	10	3	5890
Tuckyorose	1005846500583321601	625.00000	.10000	.00016	1	10	1	5890
SlavaUkraini	1005846500583321601	32.78688	.10000	.00305	1	10	18	5890
Russian	1005846500583321601	12.82051	.10000	.00780	1	10	46	5890
NatanSharansky	1005846500583321601	625.00000	.10000	.00016	1	10	1	5890
Moscow	1005846500583321601	200.00000	.10000	.00050	1	10	3	5890
IStandWithUkraine	1005846500583321601	23.58490	.10000	.00424	1	10	25	5890
BeFierce	1005846500583321601	625.00000	.10000	.00016	1	10	1	5890
BabiYar	1005846500583321601	625.00000	.10000	.00016	1	10	1	5890
antisemitism	1005846500583321601	59.17159	.10000	.00169	1	10	10	5890
PutinHitler	1020602380096696320	11.38895	.83333	.07317	5	6	431	5890
StopPutinNOW	1020602380096696320	13.50986	.50000	.03701	3	6	218	5890
StandWithUkraine	1020602380096696320	7.66988	.50000	.06519	3	6	384	5890
RussiaSanctions	1020602380096696320	13.82743	.50000	.03616	3	6	213	5890
BoycottRussia	1020602380096696320	14.16029	.50000	.03531	3	6	208	5890
PutinWarCriminal	1020602380096696320	10.07039	.33333	.03310	2	6	195	5890
LoveDuringLockup	1029041185808109568	1190.47619	1.00000	.00084	2	2	5	5890
LoveAfterLockup	1029041185808109568	369.00369	1.00000	.00271	2	2	16	5890
bigotsbill	1031000589054828544	303.03030	.10000	.00033	2	20	2	5890
VoteThemOut	1031000589054828544	74.62686	.05000	.00067	1	20	4	5890
TheProjectTV	1031000589054828544	59.52380	.05000	.00084	1	20	5	5890
SolomonIslands	1031000589054828544	312.50000	.05000	.00016	1	20	1	5890
ScottyfromMarketing	1031000589054828544	151.51515	.05000	.00033	1	20	2	5890
PutLNPlast	1031000589054828544	312.50000	.05000	.00016	1	20	1	5890
MurdochRoyalCommission	1031000589054828544	74.62686	.05000	.00067	1	20	4	5890
LNPDisgrace	1031000589054828544	12.28501	.05000	.00407	1	20	24	5890
LNPCorruptionParty	1031000589054828544	10.52631	.05000	.00475	1	20	28	5890
liarfromtheshire	1031000589054828544	312.50000	.05000	.00016	1	20	1	5890
killthebill	1031000589054828544	312.50000	.05000	.00016	1	20	1	5890
fatmo	1031000589054828544	312.50000	.05000	.00016	1	20	1	5890
AusVotes22	1031000589054828544	100.00000	.05000	.00050	1	20	3	5890
ausvotes	1031000589054828544	12.82051	.05000	.00390	1	20	23	5890
Australia	1031000589054828544	32.89473	.05000	.00152	1	20	9	5890
auspol	1031000589054828544	1.70241	.05000	.02937	1	20	173	5890
alboonfire	1031000589054828544	312.50000	.05000	.00016	1	20	1	5890
AlboForPM	1031000589054828544	5.35905	.05000	.00933	1	20	55	5890
Albo	1031000589054828544	312.50000	.05000	.00016	1	20	1	5890
ABCNews	1031000589054828544	151.51515	.05000	.00033	1	20	2	5890
HandsOffHitler	1046608631968538624	1967.21311	6.00000	.00305	12	2	18	5890
StopKissinger	1046608631968538624	3125.00000	.50000	.00016	1	2	1	5890
SideEffects	105433445	390.62500	.06250	.00016	1	16	1	5890
PutinPuppet	105433445	125.00000	.06250	.00050	1	16	3	5890
