hashtag_H	cluster_C_leader(userID)	relative_frequency_H_C	frequency_H_in_C	frequency_H_overall	count_H_in_C	count_tweets_in_C	count_H_entire_dataset	count_tweets_entire_dataset
UnsafeSchoolsAB	1001228776032763905	2380.92857	.33333	.00014	3	9	3	20481
COVIDisAirborne	1001228776032763905	33.46686	.33333	.00996	3	9	204	20481
VentilationMatters	1001228776032763905	2469.11111	.22222	.00009	2	9	2	20481
N95sForAll	1001228776032763905	326.79411	.11111	.00034	1	9	7	20481
LongCovidKids	1001228776032763905	28.85974	.11111	.00385	1	9	79	20481
LongCovid	1001228776032763905	2.22709	.11111	.04989	1	9	1022	20481
KovidKenney	1001228776032763905	2777.75000	.11111	.00004	1	9	1	20481
FireTheUCP	1001228776032763905	231.47916	.11111	.00048	1	9	10	20481
CovidMisinformation	1001228776032763905	2777.75000	.11111	.00004	1	9	1	20481
JusticeMatters	1003107003693137921	2185.79234	8.00000	.00366	64	8	75	20481
TeamJustice	1003107003693137921	2604.16666	1.25000	.00048	10	8	10	20481
WeFightOn	1003107003693137921	3125.00000	.12500	.00004	1	8	1	20481
MalteseMatter	1003107003693137921	3125.00000	.12500	.00004	1	8	1	20481
LetsRoll	1003107003693137921	3125.00000	.12500	.00004	1	8	1	20481
JusticeMaters	1003107003693137921	3125.00000	.12500	.00004	1	8	1	20481
InvestigateNOW	1003107003693137921	3125.00000	.12500	.00004	1	8	1	20481
InherentContempt	1003107003693137921	3125.00000	.12500	.00004	1	8	1	20481
WomensHistoryMonth	1003662615661436929	213.67307	.33333	.00156	1	3	32	20481
TruckerTantrum2022	1003662615661436929	8333.25000	.33333	.00004	1	3	1	20481
FluTruckKlan	1003662615661436929	628.92452	.33333	.00053	1	3	11	20481
Covid19	100380798	293.48986	2.75000	.00937	11	4	192	20481
Covid	100380798	322.16494	2.50000	.00776	10	4	159	20481
Coronavirus	100380798	2739.72602	2.00000	.00073	8	4	15	20481
Corona	100380798	3773.58490	2.00000	.00053	8	4	11	20481
Ukraine	1003895325025865730	3.20020	.50000	.15624	4	8	3200	20481
Russia	1003895325025865730	4.26039	.25000	.05868	2	8	1202	20481
StandWithUkriane	1003895325025865730	27.29257	.12500	.00458	1	8	94	20481
Minsk	1003895325025865730	431.03448	.12500	.00029	1	8	6	20481
Kramatorsk	1003895325025865730	150.60240	.12500	.00083	1	8	17	20481
HolocaustRemembranceDay	1003895325025865730	67.56756	.12500	.00185	1	8	38	20481
EPF	1003895325025865730	3125.00000	.12500	.00004	1	8	1	20481
Auschwitz	1003895325025865730	50.20080	.12500	.00249	1	8	51	20481
dogsoftwitter	1004085488859385863	608.51926	3.00000	.00493	9	3	101	20481
adoptme	1004085488859385863	2450.97058	1.66666	.00068	5	3	14	20481
AdoptDontShop	1004085488859385863	156.12763	1.33333	.00854	4	3	175	20481
corsirosenthalbox	1005148131091275777	427.34615	.66666	.00156	2	3	32	20481
mathfacts	1005148131091275777	8333.25000	.33333	.00004	1	3	1	20481
corsirosenthal	1005148131091275777	8333.25000	.33333	.00004	1	3	1	20481
fluke_natouch	1005237882	124.92192	2.00000	.01601	2	1	328	20481
StandWithUkraine	1005846500583321601	9.77865	.44444	.04545	8	18	931	20481
Tuckyorose	1005846500583321601	877.15789	.16666	.00019	3	18	4	20481
HereRightMatters	1005846500583321601	1190.42857	.16666	.00014	3	18	3	20481
tuckyorose	1005846500583321601	1388.75000	.05555	.00004	1	18	1	20481
